Image Name,Majority Vote Label,Number of Annotators who Selected SSA (Out of 7),Partition
MHIST_aaa.png,SSA,6,train
MHIST_aab.png,HP,0,train
MHIST_aac.png,SSA,5,train
MHIST_aae.png,HP,1,train
MHIST_aaf.png,SSA,5,train
MHIST_aai.png,HP,3,train
MHIST_aaj.png,HP,0,train
MHIST_aak.png,HP,2,train
MHIST_aal.png,SSA,5,train
MHIST_aam.png,HP,0,train
MHIST_aao.png,HP,0,train
MHIST_aap.png,HP,2,train
MHIST_aas.png,SSA,4,train
MHIST_aat.png,HP,0,train
MHIST_aau.png,HP,0,train
MHIST_aav.png,HP,0,train
MHIST_aaw.png,HP,0,train
MHIST_aax.png,HP,0,train
MHIST_aba.png,HP,0,train
MHIST_abc.png,HP,0,train
MHIST_abd.png,HP,0,train
MHIST_abf.png,HP,2,train
MHIST_abg.png,HP,0,train
MHIST_abh.png,SSA,4,train
MHIST_abj.png,HP,1,train
MHIST_abk.png,HP,2,train
MHIST_abl.png,HP,1,train
MHIST_abm.png,HP,0,train
MHIST_abn.png,HP,2,train
MHIST_abp.png,HP,0,train
MHIST_abq.png,HP,0,train
MHIST_abr.png,SSA,5,train
MHIST_abu.png,HP,1,train
MHIST_abv.png,HP,0,train
MHIST_abw.png,HP,0,train
MHIST_aby.png,HP,3,train
MHIST_abz.png,HP,0,train
MHIST_aca.png,SSA,6,train
MHIST_acd.png,HP,0,train
MHIST_ace.png,SSA,4,train
MHIST_acf.png,SSA,4,train
MHIST_ach.png,HP,0,train
MHIST_aci.png,HP,2,train
MHIST_acj.png,HP,0,train
MHIST_ack.png,HP,0,train
MHIST_acl.png,HP,0,train
MHIST_acm.png,SSA,5,train
MHIST_acn.png,HP,2,train
MHIST_acr.png,HP,3,train
MHIST_acs.png,HP,0,train
MHIST_act.png,HP,1,train
MHIST_acu.png,HP,0,train
MHIST_acv.png,SSA,4,train
MHIST_acx.png,HP,1,train
MHIST_acz.png,HP,0,train
MHIST_ada.png,SSA,5,train
MHIST_adb.png,HP,0,train
MHIST_ade.png,HP,2,train
MHIST_adf.png,HP,0,train
MHIST_adg.png,HP,0,train
MHIST_adh.png,HP,2,train
MHIST_adi.png,HP,1,train
MHIST_adk.png,SSA,6,train
MHIST_adl.png,HP,3,train
MHIST_adm.png,HP,3,train
MHIST_adn.png,HP,2,train
MHIST_adp.png,HP,0,train
MHIST_adq.png,HP,1,train
MHIST_adr.png,SSA,6,train
MHIST_ads.png,HP,0,train
MHIST_adt.png,HP,0,train
MHIST_adv.png,HP,0,train
MHIST_adw.png,HP,0,train
MHIST_adz.png,HP,2,train
MHIST_aea.png,HP,2,train
MHIST_aef.png,HP,2,train
MHIST_aeg.png,HP,2,train
MHIST_ael.png,HP,1,train
MHIST_aem.png,HP,1,train
MHIST_aen.png,SSA,4,train
MHIST_aeo.png,HP,1,train
MHIST_aer.png,HP,0,train
MHIST_aeu.png,HP,1,train
MHIST_aev.png,HP,0,train
MHIST_aew.png,HP,1,train
MHIST_aex.png,HP,1,train
MHIST_aey.png,HP,2,train
MHIST_afa.png,HP,2,train
MHIST_afb.png,HP,3,train
MHIST_afd.png,HP,1,train
MHIST_afe.png,HP,1,train
MHIST_afh.png,HP,0,train
MHIST_afi.png,SSA,4,train
MHIST_afj.png,HP,1,train
MHIST_afl.png,HP,0,train
MHIST_afp.png,HP,1,train
MHIST_afq.png,SSA,6,train
MHIST_afr.png,HP,1,train
MHIST_aft.png,SSA,6,train
MHIST_afu.png,HP,1,train
MHIST_afv.png,HP,3,train
MHIST_afw.png,HP,1,train
MHIST_afx.png,HP,1,train
MHIST_afy.png,HP,1,train
MHIST_afz.png,HP,0,train
MHIST_aga.png,HP,1,train
MHIST_agc.png,HP,2,train
MHIST_agg.png,HP,2,train
MHIST_agl.png,HP,2,train
MHIST_agm.png,HP,2,train
MHIST_agn.png,HP,1,train
MHIST_ago.png,HP,2,train
MHIST_agp.png,HP,3,train
MHIST_agq.png,HP,1,train
MHIST_agr.png,HP,1,train
MHIST_agt.png,HP,1,train
MHIST_agv.png,HP,1,train
MHIST_agw.png,HP,1,train
MHIST_agx.png,HP,1,train
MHIST_agz.png,HP,1,train
MHIST_ahe.png,HP,0,train
MHIST_ahf.png,HP,0,train
MHIST_ahg.png,HP,0,train
MHIST_ahh.png,SSA,5,train
MHIST_ahi.png,HP,1,train
MHIST_ahj.png,HP,2,train
MHIST_ahm.png,HP,2,train
MHIST_ahn.png,HP,1,train
MHIST_ahp.png,HP,0,train
MHIST_ahs.png,HP,0,train
MHIST_aht.png,HP,0,train
MHIST_ahv.png,HP,3,train
MHIST_ahx.png,HP,1,train
MHIST_ahy.png,HP,1,train
MHIST_aia.png,SSA,5,train
MHIST_aib.png,HP,1,train
MHIST_aic.png,HP,3,train
MHIST_aid.png,HP,1,train
MHIST_aig.png,HP,1,train
MHIST_aih.png,SSA,4,train
MHIST_aii.png,HP,2,train
MHIST_aik.png,HP,3,train
MHIST_aio.png,HP,1,train
MHIST_air.png,HP,0,train
MHIST_ait.png,HP,2,train
MHIST_aiv.png,HP,0,train
MHIST_aiw.png,HP,3,train
MHIST_aix.png,HP,1,train
MHIST_aiy.png,HP,1,train
MHIST_aiz.png,HP,1,train
MHIST_aja.png,HP,3,train
MHIST_ajb.png,HP,2,train
MHIST_aje.png,HP,2,train
MHIST_ajg.png,HP,2,train
MHIST_ajh.png,HP,2,train
MHIST_ajj.png,HP,0,train
MHIST_ajk.png,SSA,4,train
MHIST_ajl.png,HP,0,train
MHIST_ajm.png,HP,0,train
MHIST_ajq.png,HP,3,train
MHIST_ajs.png,HP,1,train
MHIST_ajt.png,HP,1,train
MHIST_ajv.png,HP,1,train
MHIST_ajw.png,SSA,4,train
MHIST_ajx.png,SSA,4,train
MHIST_aka.png,HP,1,train
MHIST_akb.png,HP,3,train
MHIST_akf.png,HP,2,train
MHIST_akg.png,HP,1,train
MHIST_akj.png,HP,0,train
MHIST_ako.png,HP,2,train
MHIST_aks.png,SSA,4,train
MHIST_akt.png,HP,1,train
MHIST_aku.png,HP,1,train
MHIST_akw.png,SSA,4,train
MHIST_akz.png,HP,1,train
MHIST_alb.png,HP,1,train
MHIST_ald.png,HP,0,train
MHIST_alf.png,HP,0,train
MHIST_alj.png,HP,1,train
MHIST_alk.png,HP,0,train
MHIST_all.png,HP,3,train
MHIST_alm.png,HP,0,train
MHIST_alp.png,HP,0,train
MHIST_alq.png,HP,3,train
MHIST_alu.png,HP,3,train
MHIST_alx.png,HP,0,train
MHIST_aly.png,HP,2,train
MHIST_alz.png,HP,0,train
MHIST_ama.png,HP,0,train
MHIST_amb.png,HP,2,train
MHIST_amc.png,HP,3,train
MHIST_amd.png,HP,1,train
MHIST_amf.png,HP,3,train
MHIST_amh.png,HP,0,train
MHIST_amk.png,HP,0,train
MHIST_aml.png,HP,0,train
MHIST_amn.png,HP,0,train
MHIST_amp.png,HP,2,train
MHIST_amr.png,HP,2,train
MHIST_ams.png,HP,1,train
MHIST_amt.png,HP,3,train
MHIST_amu.png,HP,2,train
MHIST_amx.png,HP,1,train
MHIST_amy.png,HP,2,train
MHIST_anb.png,HP,0,train
MHIST_anf.png,HP,0,train
MHIST_ang.png,HP,1,train
MHIST_anh.png,SSA,4,train
MHIST_ani.png,HP,1,train
MHIST_anj.png,HP,0,train
MHIST_anl.png,HP,0,train
MHIST_anq.png,HP,0,train
MHIST_anu.png,HP,1,train
MHIST_anv.png,HP,0,train
MHIST_any.png,HP,0,train
MHIST_aoa.png,HP,0,train
MHIST_aob.png,HP,1,train
MHIST_aoe.png,HP,1,train
MHIST_aof.png,HP,0,train
MHIST_aok.png,HP,0,train
MHIST_aom.png,HP,1,train
MHIST_aon.png,HP,1,train
MHIST_aoq.png,HP,0,train
MHIST_aos.png,HP,0,train
MHIST_aot.png,HP,2,train
MHIST_aou.png,HP,0,train
MHIST_aov.png,HP,1,train
MHIST_aox.png,HP,2,train
MHIST_aoy.png,HP,0,train
MHIST_aoz.png,HP,1,train
MHIST_apb.png,HP,1,train
MHIST_apd.png,HP,0,train
MHIST_ape.png,HP,1,train
MHIST_apf.png,HP,0,train
MHIST_apg.png,HP,3,train
MHIST_aph.png,HP,3,train
MHIST_api.png,HP,1,train
MHIST_apj.png,HP,3,train
MHIST_apl.png,HP,2,train
MHIST_apo.png,HP,3,train
MHIST_app.png,HP,0,train
MHIST_apq.png,HP,2,train
MHIST_apr.png,HP,1,train
MHIST_apx.png,HP,1,train
MHIST_apy.png,HP,3,train
MHIST_apz.png,SSA,5,train
MHIST_aqa.png,HP,1,train
MHIST_aqc.png,HP,1,train
MHIST_aqe.png,HP,0,train
MHIST_aqg.png,HP,2,train
MHIST_aql.png,HP,3,train
MHIST_aqn.png,HP,2,train
MHIST_aqo.png,HP,2,train
MHIST_aqq.png,HP,2,train
MHIST_aqt.png,HP,0,train
MHIST_aqu.png,HP,3,train
MHIST_aqw.png,HP,3,train
MHIST_aqx.png,SSA,5,train
MHIST_aqz.png,HP,3,train
MHIST_ara.png,HP,3,train
MHIST_arb.png,HP,2,train
MHIST_arc.png,HP,1,train
MHIST_ard.png,SSA,5,train
MHIST_are.png,HP,1,train
MHIST_arg.png,HP,1,train
MHIST_arh.png,HP,0,train
MHIST_ari.png,HP,0,train
MHIST_arj.png,HP,0,train
MHIST_ark.png,HP,2,train
MHIST_arl.png,HP,2,train
MHIST_arm.png,HP,1,train
MHIST_aro.png,HP,0,train
MHIST_arr.png,HP,1,train
MHIST_ars.png,SSA,4,train
MHIST_art.png,HP,2,train
MHIST_aru.png,HP,1,train
